date,Salesforce,Docusign,Oracle,Shopify,Workday,Weekday
10/19/2024,27,21,14,46,37,7
10/20/2024,17,16,13,45,30,1
10/21/2024,78,85,27,72,83,2
10/22/2024,89,90,29,76,80,3
10/23/2024,92,88,30,73,78,4
10/24/2024,85,85,29,81,77,5
10/25/2024,75,85,26,71,72,6
10/26/2024,30,26,13,49,34,7
10/27/2024,19,19,11,43,31,1
10/28/2024,80,88,25,68,81,2
10/29/2024,80,91,29,70,77,3
10/30/2024,81,93,28,76,80,4
10/31/2024,78,90,26,76,74,5
11/1/2024,71,80,25,67,75,6
11/2/2024,25,23,13,49,37,7
11/3/2024,22,18,12,50,34,1
11/4/2024,86,89,25,65,80,2
11/5/2024,72,81,24,66,72,3
11/6/2024,61,62,20,53,56,4
11/7/2024,81,90,27,72,77,5
11/8/2024,76,85,26,74,73,6
11/9/2024,27,24,14,51,35,7
11/10/2024,19,17,11,48,33,1
11/11/2024,74,64,23,77,73,2
11/12/2024,82,93,28,100,82,3
11/13/2024,97,91,30,88,81,4
11/14/2024,82,87,28,83,79,5
11/15/2024,77,81,27,74,75,6
11/16/2024,25,24,13,49,40,7
11/17/2024,18,21,12,50,33,1
11/18/2024,79,82,27,76,79,2
11/19/2024,94,89,29,84,81,3
11/20/2024,94,90,28,82,78,4
11/21/2024,96,87,31,81,77,5
11/22/2024,80,82,30,77,69,6
11/23/2024,28,27,14,58,35,7
11/24/2024,18,15,12,49,30,1
11/25/2024,81,84,27,80,68,2
11/26/2024,77,86,26,83,73,3
11/27/2024,56,70,24,80,61,4
11/28/2024,18,18,13,54,30,5
11/29/2024,20,24,14,72,33,6
11/30/2024,21,19,12,59,29,7
12/1/2024,18,18,12,53,30,1
12/2/2024,71,87,25,83,73,2
12/3/2024,90,87,26,82,74,3
12/4/2024,97,89,31,80,78,4
12/5/2024,88,93,100,78,69,5
12/6/2024,74,89,42,74,69,6
12/7/2024,26,30,15,53,36,7
12/8/2024,18,19,13,55,30,1
12/9/2024,76,87,29,72,74,2
12/10/2024,80,96,34,77,75,3
12/11/2024,81,93,31,79,73,4
12/12/2024,84,94,29,81,71,5
12/13/2024,69,84,26,74,69,6
12/14/2024,26,31,13,51,37,7
